,Hotel Name,Address,Rating (5),Price (2)
94,High On Desserts,"DR Nagar, West Delhi",4.3,500
95,Mamagoto,"MK Market, Central Delhi",4.5,1500
96,Wok in the Clouds,"CK Market, Central Delhi",4.2,2200
97,In,"IS BarAmbassador,Khan Market, Central Delhi",4.2,4000
98,Cafe Delhi Heights,"HK Market, Central Delhi",4.3,1300
99,Jade,"JT Claridges,Aurangzeb Road, Central Delhi",4.1,2500
100,Soda,"SB Market, Central Delhi",4.3,2000
101,Anglow,"AK Market, Central Delhi",4.2,1600
102,Fat Lulu's,"LK Market, Central Delhi",4.2,1000
103,Kaarobaar,"KR Nagar, West Delhi",4.3,700
104,Pikkle,"PR Nagar, West Delhi",4.0,1700
105,Out Of The Box,"BK Market, Central Delhi",4.1,2200
106,Gola Sizzlers,"SK Market, Central Delhi",4.0,1100
107,"Choko laKhan Market, Central Delhi₹ 800 for 2 (approx) | Desserts, Beverages",,4.0,800
108,Oh! Pind,"PK Bagh, Central Delhi",4.0,900
109,S,"SA Nagar, Central Delhi",4.3,3000
110,Subway,"SP Nagar, West Delhi",5.0,500
111,Lanterns Kitchen & Bar,"BR Bhawan,Rajendra Place, West Delhi",4.1,2000
112,Mughal Mahal,"MR Place, West Delhi",4.3,1900
113,Bake Club,"CE Patel Nagar, West Delhi",5.0,500
114,Naivedyam,"NE Patel Nagar, West Delhi",4.3,600
115,Sana-,"SD Marg Shopping Complex,Chanakyapuri, South Delhi",4.4,2500
116,Lazeez Affaire,"AM Marg Shopping Complex,Chanakyapuri, South Delhi",4.3,2600
117,Elan,"ET Lodhi,Lodhi Road, South Delhi",4.3,4000
118,M,"MK Chanakya,Chanakyapuri, South Delhi",4.5,2500
119,Gyan's Restaurant,"RE Patel Nagar, West Delhi",4.2,800
120,Perbacco,"PT Lodhi,Lodhi Road, South Delhi",4.0,3000
121,Boa Village,"VT Exchange Store Building,Civil Lines, North Delhi",4.3,2500
122,Le Winkies,"WE Patel Nagar, West Delhi",4.0,600
123,Qbic Cafe,"CE Patel Nagar, West Delhi",4.2,1200
124,Guppy,"GL Colony, South Delhi",4.3,2500
125,Ping's Cafe Orient,"OL Colony, South Delhi",4.4,1800
126,Jamun,"JL Colony, South Delhi",4.2,1200
127,Subway,"SK Nagar, North Delhi",4.4,500
128,La Pino'z Pizza,"PL Nagar, East Delhi",4.4,500
129,Pizza Paradise,"PW Patel Nagar, West Delhi",5.0,600
130,Rom's Pizza,"PL Nagar, East Delhi",4.5,500
131,Mag 'N' Cheese,"CK Nagar, North Delhi",4.5,800
132,Chalte Firte Momos & Special Food,"FK Nagar, North Delhi",4.0,500
