,Hotel Name,Address,Rating (5),Price (2)
400,Flavors Of Chennai,"CC Market,Malviya Nagar, South Delhi",4.3,400
401,Beliram Degchiwala,"DC Market,Malviya Nagar, South Delhi",4.3,1100
402,Cafe Rendezvous,"RC Market,Malviya Nagar, South Delhi",4.1,2000
403,Ocean Blue,"BH Blue Stone,Kaushambi, Ghaziabad",4.8,1200
404,Pizza Hut,"HC Market,Malviya Nagar, South Delhi",4.3,800
405,Maini's Green Leaf,"LK Metro Station,Kaushambi, Ghaziabad",4.2,1000
406,Anna Ka Dosa,DK South Delhi,5.0,300
407,Little Chef,CK South Delhi,4.0,600
408,Da Pizza Makers,"MQ Institutional Area, South Delhi",5.0,600
409,Mughal Darbar Restaurant,"RP Bagh, West Delhi",4.2,800
410,Momo Nation Cafe,"CT Garden, West Delhi",4.0,400
411,Rooftop – The View,"VR Blu,Kaushambi, Ghaziabad",4.2,2800
412,Lawn Bistro,"BS 15 A, Noida",4.3,3000
413,Tandoori Brothers,"BM Nagar, South Delhi",5.0,800
414,Panky's Pastry Shop,"SS Nagar, West Delhi",4.7,400
415,Stop My Starvation,"SC Market,Malviya Nagar, South Delhi",4.0,400
416,Bunty Dhaba,"DC Park, South Delhi",4.5,600
417,THE G,"GO FOOD CAFEPankaj Arcade,Pitampura, North Delhi",4.2,900
418,Tiffynn,"TV Enclave, East Delhi",4.5,400
419,Naivedyam,NK South Delhi,4.3,600
420,Waves,WA South Delhi,4.3,1600
421,Oh! Calcutta,"CG Kailash - 2, South Delhi",4.4,1200
422,SGF - Spice Grill Flame,"FP Bagh, West Delhi",4.0,500
423,Khidmat,KK South Delhi,4.2,1100
424,Kitchen Klub Bar Restaurant,"RM Phase - 2, West Delhi",4.1,1600
425,Berco's,"BP City Centre,Pitampura, North Delhi",4.3,1300
426,Banana Leaves,"LV Sunrise Plaza,Vasundhara Enclave, East Delhi",4.0,300
427,Gaon,"GM Nagar, South Delhi",4.0,800
428,My Spice Kitchen,"KC Park, South Delhi",4.0,1000
429,Nikke Tikke,TK South Delhi,4.0,1000
430,Kake Da Hotel,"HC Park, South Delhi",4.4,800
431,Food Uncensored,"US Sarai, South Delhi",5.0,400
432,Munchies Midnight Delivery,"DV Sunrise Plaza,Vasundhara Enclave, East Delhi",4.5,600
433,Burger Singh - Big Punjabi Burgers,BK South Delhi,4.4,400
434,Southy,SA South Delhi,4.0,500
435,Chateau de Pondichery,PA South Delhi,4.4,2000
436,Wendy's,WK South Delhi,4.0,500
437,Emoi,"EP Mall,Tagore Garden, West Delhi",5.0,200
438,Catalyst Cafe,"CS Nagar, Ghaziabad",4.0,600
439,Chungwa,"CG Kailash - 2, South Delhi",4.3,1200
440,Biryani Blues,BK South Delhi,4.3,700
441,Truffle Story,"SC Park, South Delhi",4.8,500
442,Barbeque Nation,"NS Suites,Sector 16, Noida",4.5,1900
443,You Mee,"MG Kailash - 2, South Delhi",4.6,1500
444,Oodles Noodles,"NM Nagar, South Delhi",4.5,1200
445,Coffee Cafe 9,"9M Nagar, South Delhi",4.7,700
446,Punjab Grill,"GP Mall,Tagore Garden, West Delhi",4.1,2200
447,Cafe Delhi Heights,"HP Mall,Tagore Garden, West Delhi",4.4,1300
448,The Belgian Fries Company,"CP Mall,Tagore Garden, West Delhi",4.7,500
449,Kake Da Hotel,"HM Nagar, South Delhi",4.0,800
450,Kiara - Soul Kitchen,"KG Kailash - 2, South Delhi",4.4,1800
451,La Casa The Home,"HS Bagh, North Delhi",5.0,400
452,Mensho Tokyo,"TG Kailash - 2, South Delhi",4.5,1500
453,The Himalayan Kitchen,"KM Block Market,Greater Kailash - 2, South Delhi",4.3,1300
454,Tikka Junction,"JM Nagar, South Delhi",4.2,800
455,Shibuya Food & Bar,"BG Kailash - 2, South Delhi",4.4,1800
456,Pizza Hut,"HP Mall,Tagore Garden, West Delhi",4.3,800
457,Tossin Pizza,"PM Block Market,Greater Kailash - 2, South Delhi",4.3,800
458,Subway,"SP Mall,Tagore Garden, West Delhi",4.3,500
459,Wow! Momo,"MM Nagar, South Delhi",4.0,400
460,Big Fat Sandwich and Pizza,"PM Block Market,Greater Kailash - 2, South Delhi",4.3,900
461,Laidback Cafe,"CG Kailash - 2, South Delhi",4.3,1800
462,Mad Over Donuts,"DP Mall,Tagore Garden, West Delhi",4.3,500
463,Pizza Hut,"HD Building,Dilshad Garden, East Delhi",4.4,800
464,In The Punjab,"PM Block Market,Greater Kailash - 2, South Delhi",4.4,3000
465,Diva - The Italian,"IG Kailash - 2, South Delhi",4.0,2200
466,Cafe Green,"GC Park, South Delhi",4.1,800
467,Dunkin' Donuts,"DP Mall,Tagore Garden, West Delhi",4.1,400
468,Cafe Platonic,"PS Niketan, South Delhi",4.0,1200
469,Laidback Cafe,"CD Avenue,Saket, South Delhi",4.5,2200
470,Cosme Restaurant Lounge,"LH Royal Castle Grand,Chittaranjan Park, South Delhi",4.0,800
471,Sattvik,"SS Citywalk Mall,Saket, South Delhi",4.4,2000
472,Burma Burma,"BS Citywalk Mall,Saket, South Delhi",4.7,1500
473,Berco's,"BM Metropolitan Mall,Saket, South Delhi",4.3,1300
474,Jom Jom Malay,"MS Citywalk Mall,Saket, South Delhi",4.5,1500
475,Excuse Me Boss,"BM Metropolitan Mall,Saket, South Delhi",4.3,2200
476,Cake Walkers,"WK Nagar, West Delhi",5.0,600
477,Baba Rolls,"RS Citywalk Mall,Saket, South Delhi",4.3,600
478,Pizza Hut,"HO Phase - 2, South Delhi",5.0,800
479,Bread Talk,"TS Citywalk Mall,Saket, South Delhi",4.4,800
480,Mohit Sweets And Family Restaurant,RV Ghaziabad,5.0,500
481,6,"64 Inn and Suites By Radisson-Sahibabad,Sahibabad, Ghaziabad",4.6,4500
482,Chhoti Haveli,"HJ Road, West Delhi",4.1,800
483,Mamagoto,"MS Citywalk Mall,Saket, South Delhi",4.4,1500
484,FIO P,"PO Avenue,Saket, South Delhi",4.4,1500
485,Taco Bell,"BS Citywalk Mall,Saket, South Delhi",4.1,500
486,Punjab Grill,"GS Citywalk Mall,Saket, South Delhi",4.1,1600
487,Tangerine,"TM Sarovar Portico,Vaishali, Ghaziabad",4.2,1500
488,Joy Luck Moon,"MS Citywalk Mall,Saket, South Delhi",4.3,1800
489,Kesar,"KA Chambers,Pitampura, North Delhi",4.4,800
490,Mad Over Donuts,"DM Metro Mall,Vaishali, Ghaziabad",4.2,500
491,MAI B,"BA Avenue,Saket, South Delhi",4.3,1300
492,Cafe Delhi Heights,"HD Avenue,Saket, South Delhi",4.3,1300
493,Mahabelly,"MD Avenue,Saket, South Delhi",4.6,1200
494,Dhaba Estd 1,"19 DelhiDLF Avenue,Saket, South Delhi",4.4,2000
495,Wow! Momo,"MS Citywalk Mall,Saket, South Delhi",4.2,400
496,Chili's American Grill and Bar,"BD Avenue,Saket, South Delhi",4.3,1300
497,Ping's Cafe Orient,"OD Avenue,Saket, South Delhi",4.2,1800
498,Smoke House Deli,"DD Avenue,Saket, South Delhi",4.3,1500
499,Q,QL South Delhi,4.2,3200
