,Hotel Name,Address,Rating (5),Price (2)
95,Capten Milkshakes,"MC Chowk, Central Delhi",5.0,500
96,Cafe Chill'm,"CK Nagar, North Delhi",4.2,1300
97,Lakhori - Haveli Dharampura,"DC Chowk, Central Delhi",4.3,3000
98,House of Ming,"MT Taj Mahal,Mansingh Road, Central Delhi",4.5,5000
99,Capten Milkshakes,"MC Chowk, Central Delhi",4.5,500
100,Varq,"VT Taj Mahal,Mansingh Road, Central Delhi",4.3,4500
101,Southern Masala,"MK Bagh, Central Delhi",4.1,1100
102,MGM Club,"CM Residency 19,Daryaganj, Central Delhi",3.9,1800
103,Arya Bhavan,"BK Bagh, Central Delhi",3.7,500
104,Pizza Hut,"HK Bagh, Central Delhi",4.5,800
105,Aura,"AT Claridges,Aurangzeb Road, Central Delhi",4.9,1500
106,Tempting Xpress,"XK Bagh, Central Delhi",5.0,500
107,Yellow Brick Road,"RA Market, Central Delhi",4.4,2200
108,Subway,"SR Nagar, West Delhi",5.0,500
109,Sly Granny,"GK Market, Central Delhi",4.5,1800
110,Rule The Rolls,"RK Market, Central Delhi",4.7,600
111,High On Desserts,"DR Nagar, West Delhi",4.3,500
112,Mamagoto,"MK Market, Central Delhi",4.5,1500
113,Wok in the Clouds,"CK Market, Central Delhi",4.2,2200
114,Fiostel Cafe,"CK Bagh, Central Delhi",3.8,500
115,In,"IS BarAmbassador,Khan Market, Central Delhi",4.2,4000
116,Gaurav Kapoor Live At Junkyard Cafe,"CC Place, Central Delhi",0.0,300
117,Cafe Delhi Heights,"HK Market, Central Delhi",4.3,1300
118,Jade,"JT Claridges,Aurangzeb Road, Central Delhi",4.1,2500
119,Soda,"SB Market, Central Delhi",4.3,2000
120,Imly,"IA Arcade Mall,Karol Bagh, Central Delhi",3.7,800
121,Socia L Affaire,"AK Bagh, Central Delhi",3.6,1500
122,Anglow,"AK Market, Central Delhi",4.2,1600
123,BFF (Beer Food Feast) Restro Bar,"BK Bagh, Central Delhi",3.7,2000
124,Fat Lulu's,"LK Market, Central Delhi",4.2,1000
125,Kaarobaar,"KR Nagar, West Delhi",4.3,700
126,Wow! Momo,"MK Bagh, Central Delhi",3.8,400
127,Pikkle,"PR Nagar, West Delhi",4.0,1700
128,White House Corner,"CK Bagh, Central Delhi",3.7,200
129,Out Of The Box,"BK Market, Central Delhi",4.1,2200
130,Gola Sizzlers,"SK Market, Central Delhi",4.0,1100
131,Roshan DI Kulfi,"KK Bagh, Central Delhi",3.7,500
132,"Choko laKhan Market, Central Delhi₹ 800 for 2 (approx) | Desserts, Beverages",,4.0,800
133,Punjab Grill,"GK Market, Central Delhi",3.7,2200
134,Oh! Pind,"PK Bagh, Central Delhi",4.0,900
135,S,"SA Nagar, Central Delhi",4.3,3000
136,The Dhaba Junction,"JK Bagh, Central Delhi",3.4,1000
137,Sandoz,"SK Bagh, Central Delhi",2.5,1400
138,Azam's Mughlai,"MK Market, Central Delhi",3.0,600
139,Nathu's Sweets,"SS Nagar, Central Delhi",3.8,500
140,Subway,"SP Nagar, West Delhi",5.0,500
141,Roll Bhai,"BR Nagar, West Delhi",3.0,300
142,Masterchef Kitchen,"KK Bagh, Central Delhi",3.4,700
143,Lanterns Kitchen & Bar,"BR Bhawan,Rajendra Place, West Delhi",4.1,2000
144,Mughal Mahal,"MR Place, West Delhi",4.3,1900
145,Al,AK South Delhi,3.9,800
146,Cakes And More,MP Central Delhi,0.0,400
147,Bake Club,"CE Patel Nagar, West Delhi",5.0,500
148,Naivedyam,"NE Patel Nagar, West Delhi",4.3,600
149,Sana-,"SD Marg Shopping Complex,Chanakyapuri, South Delhi",4.4,2500
150,SGF - Spice Grill Flame,"FK Bagh, Central Delhi",2.7,500
151,Lazeez Affaire,"AM Marg Shopping Complex,Chanakyapuri, South Delhi",4.3,2600
152,The Hungerss,"HC Place, Central Delhi",0.0,800
153,Elan,"ET Lodhi,Lodhi Road, South Delhi",4.3,4000
154,M,"MK Chanakya,Chanakyapuri, South Delhi",4.5,2500
155,Giani,"GG Market, Central Delhi",0.0,400
156,Bar,"BS Bagh, Central Delhi",1.0,800
157,Gyan's Restaurant,"RE Patel Nagar, West Delhi",4.2,800
158,Perbacco,"PT Lodhi,Lodhi Road, South Delhi",4.0,3000
159,Boa Village,"VT Exchange Store Building,Civil Lines, North Delhi",4.3,2500
160,Le Winkies,"WE Patel Nagar, West Delhi",4.0,600
161,Qbic Cafe,"CE Patel Nagar, West Delhi",4.2,1200
162,Wrapss,"WK Bagh, Central Delhi",1.0,400
163,Wow! Momo,"MK Gate Metro Station,Kashmiri Gate, North Delhi",2.2,400
164,Guppy,"GL Colony, South Delhi",4.3,2500
165,Ping's Cafe Orient,"OL Colony, South Delhi",4.4,1800
166,Pinjore,"PE Patel Nagar, West Delhi",3.7,1600
167,Jamun,"JL Colony, South Delhi",4.2,1200
168,Wai Yu Mun Ching,"CR Place, West Delhi",2.5,1000
169,The Waffle Co.,"CE Patel Nagar, West Delhi",3.0,400
170,Subway,"SK Nagar, North Delhi",4.4,500
171,La Pino'z Pizza,"PL Nagar, East Delhi",4.4,500
172,Pizza Paradise,"PW Patel Nagar, West Delhi",5.0,600
173,Rom's Pizza,"PL Nagar, East Delhi",4.5,500
174,La Pino'z Pizza,"PK Nagar, North Delhi",3.8,500
175,Mag 'N' Cheese,"CK Nagar, North Delhi",4.5,800
176,Chalte Firte Momos & Special Food,"FK Nagar, North Delhi",4.0,500
177,Bhukkad's Cafe,"CK Nagar, North Delhi",3.8,200
178,Cafe Bugs Bunny,"BG Colony, East Delhi",5.0,700
179,Bar,"BS Nagar, North Delhi",4.8,800
180,BTW (Bittoo Tikki Wala),"WK Nagar, North Delhi",3.0,500
181,Bakisto,"BW Patel Nagar, West Delhi",3.8,600
182,Blackmail Lounge,"LK Nagar, North Delhi",4.4,1500
183,Pandit Ji Bhalle Wale,"WW Patel Nagar, West Delhi",4.0,300
184,Arabian Delites,"DD Colony, South Delhi",5.0,600
185,Govardhan Vegetarian,"VK Nagar, North Delhi",3.8,800
186,Vikrant Cafe,"CK Nagar, North Delhi",3.6,700
187,Wendy's,"WK Nagar, North Delhi",3.5,500
188,The Qube,"QT Leela Palace,Chanakyapuri, South Delhi",4.6,3500
189,The Laalten,"LK Nagar, North Delhi",4.1,1800
190,Wow! Momo,"MS Mall,Kamla Nagar, North Delhi",3.4,400
191,Tikka Junction,"JK Nagar, North Delhi",4.0,1500
192,Chimney Sizzlers,"SY Place,Chanakyapuri, South Delhi",3.7,800
193,Jamavar,"JT Leela Palace,Chanakyapuri, South Delhi",4.3,5500
194,Spicy Duck,"DT Palace New Delhi,Chanakyapuri, South Delhi",4.3,4000
195,Orient Express,"ET Palace New Delhi,Chanakyapuri, South Delhi",4.4,4500
196,Chai Mantra,"MV Marg, East Delhi",3.9,500
197,Pizza Pirates,"PW Patel Nagar, West Delhi",4.0,500
198,Subway,"SD South Square Mall,Sarojini Nagar, South Delhi",4.8,500
199,Le Cirque,"CT Leela Palace,Chanakyapuri, South Delhi",4.4,6000
200,Megu,"MT Leela Palace,Chanakyapuri, South Delhi",4.3,5000
201,Classic Pizza Everyday,"EG Colony, East Delhi",3.4,700
202,Pizza Hut,"HV Mall,Laxmi Nagar, East Delhi",4.3,800
203,Gola Sizzlers,"SP Vihar, East Delhi",4.5,1100
204,Kev's Cafe,"CS Niketan, South Delhi",4.9,300
205,The Yellow Chilli,"CV Mall,Laxmi Nagar, East Delhi",4.1,1100
206,Underpass,"UD Colony, South Delhi",3.1,1200
207,Wrapss,"WA Arcade Mall,Karol Bagh, Central Delhi",0.0,400
208,Pizza Nostra,"NG Nagar, North Delhi",5.0,400
209,One,"O8 CommuneCivil Lines, North Delhi",4.0,2500
210,Burger Singh - Big Punjabi Burgers,"BK Nagar, East Delhi",4.0,400
211,Wood Box Cafe,"CS Niketan, South Delhi",4.4,1000
212,Moti Mahal Delux,"DS Extension - 2, South Delhi",4.3,1500
213,Chowringhee,"CS Niketan, South Delhi",4.4,600
214,Khanna Tandoori Junction,"JK Nagar, East Delhi",4.6,600
215,Wow! Momo,"MV Mall,Laxmi Nagar, East Delhi",3.6,400
216,No. 1 Uncles Parantha,"PS Extension - 1, South Delhi",4.0,400
217,The Crypto Door,"DV Nagar, North Delhi",4.6,1000
218,Bunty Dhaba,"DD Colony, South Delhi",2.7,600
219,Sandoz,"SA Vihar Phase - 2, North Delhi",4.1,1400
220,3 Friends Pizza,"PP Nagar, East Delhi",3.0,400
221,Crazy Kitchen Rooftop & Lounge,"LS Niketan, South Delhi",4.3,1200
222,Cafe Emoji's,"ES Niketan, South Delhi",4.2,500
223,The Salt Cafe Kitchen & Bar,"BP Vihar, East Delhi",4.3,2500
224,Cafe Diaries,"DS Niketan, South Delhi",4.4,1200
225,Wow! Momo,"MP of Delhi,Dhaula Kuan, West Delhi",4.5,400
226,Daawat Restaurant,"RK Nagar, East Delhi",3.7,700
227,Indus Flavour- Proudly Vegetarian,"VH Lane, North Delhi",4.4,1000
228,Bhalla King,"KL Nagar - 2, South Delhi",5.0,300
229,Bottle House,"HS Niketan, South Delhi",4.1,600
230,High Bae,"BD Kuan, West Delhi",4.3,1600
231,Amar Jyoti,"JS Nagar, South Delhi",3.0,1000
232,Berco's,"BP Vihar, East Delhi",4.1,1300
233,Wood Box Cafe,"CV Nagar, North Delhi",4.3,1200
234,Sandoz,"SL Nagar - 3, South Delhi",4.1,1400
235,Da Safe Zone,"ZS Niketan, South Delhi",3.6,1500
236,Subway,"SV Nagar, North Delhi",4.4,500
237,Breeckyard Cafe And Lounge,"LM Bagh, South Delhi",4.1,1000
238,The Sky High,"HA Plaza Mall,Khel Gaon, South Delhi",4.1,1700
239,Jack 'n' Chill,"CV Nagar, North Delhi",4.3,1000
240,Amritsari Naan And Kulcha,"KR Nagar, West Delhi",4.8,400
241,The Chai Story,"SD South Square Mall,Sarojini Nagar, South Delhi",3.0,700
242,Pizza Hut,"HH Lane, North Delhi",4.7,800
243,The Turkey Project,"PD Complex,Defence Colony, South Delhi",4.7,1400
244,Phonebooth Cafe,"CV Nagar, North Delhi",4.4,1200
245,Spezia Bistro,"BH Lane, North Delhi",4.5,1600
246,Kabul Delhi,"DL Nagar - 2, South Delhi",4.1,600
